FID,Permit_ID,Permit_Nam,Address,City,State,Zip,County,PrimaryWas,PrimaryOpe,PermitStat,PermitExpD,Status,Latitude,Longitude,counties_FID,counties_OBJECTID,counties_PERIMETER,counties_CO_ABBR,counties_ACRES,counties_Shape_Leng,counties_RO,counties_GlobalID,counties_SHAPE_Le_1,counties_SHAPE_Area
"11",7502C-MSWLF-1981,Polk County MSW Landfill,NC Hwy 9,Columbus,NC,"28756",Polk,MSW,LF,InactiveClosed,,Closed,35.317652000000002,-82.185057000000000,"71",71.000000000000000,115044.968750000000000,POLK,152720.031250000000000,377443.378408999997191,ARO,{0467A5EE-08B5-4977-BF80-DD987968462F},141061.072794718289515,6652480300.789999961853027
"12",75A-LCID-1990,"Tryon, Town Of",Vaughn Street (S.R. 1504),Tryon,NC,"28782",Polk,LCID,LF,InactiveClosed,,Closed,35.212581000000000,-82.221761000000001,"71",71.000000000000000,115044.968750000000000,POLK,152720.031250000000000,377443.378408999997191,ARO,{0467A5EE-08B5-4977-BF80-DD987968462F},141061.072794718289515,6652480300.789999961853027
"13",7601-MSWLF-1983,Randolph County Landfill,Henley Country Road (S.R. 2215),Asheboro,NC,"27317",Randolph,MSW,LF,InactiveClosed,,Closed,35.755429999999997,-79.762429999999995,"5",5.000000000000000,180894.171875000000000,RAND,505667.968750000000000,593483.622165999957360,WSRO,{D7EF7550-7A29-49C8-99FF-5AC089916B1D},223033.815059565677075,22026881771.299999237060547
"14",7602-INDUS-1983,Energizer Battery Manufacturing Inc.,County Land Road,Randleman,NC,"27317",Randolph,Indus,LF,Inactive,2010/10/22,Open,35.751359999999998,-79.768990000000002,"5",5.000000000000000,180894.171875000000000,RAND,505667.968750000000000,593483.622165999957360,WSRO,{D7EF7550-7A29-49C8-99FF-5AC089916B1D},223033.815059565677075,22026881771.299999237060547
"15",7606-CDLF-2001,Gold Hill Road C&D Debris Landfill,385 Gold Hill Road,Asheboro,NC,"27203",Randolph,CD,LF,Active,2019/02/17,Open,35.718541000000002,-79.789911000000004,"5",5.000000000000000,180894.171875000000000,RAND,505667.968750000000000,593483.622165999957360,WSRO,{D7EF7550-7A29-49C8-99FF-5AC089916B1D},223033.815059565677075,22026881771.299999237060547
"16",7607-MSWLF-2015,Great Oak Landfill,1252 County Land Road,Randleman,NC,"27317",Randolph,MSW,LF,Active,,Open,35.753151000000003,-79.763271000000003,"5",5.000000000000000,180894.171875000000000,RAND,505667.968750000000000,593483.622165999957360,WSRO,{D7EF7550-7A29-49C8-99FF-5AC089916B1D},223033.815059565677075,22026881771.299999237060547
"17",76A-DEMO-,McRae Roofing & Siding  Inc,Greenvale Road,Asheboro,NC,"27203",Randolph,CD,LF,InactiveClosed,,Closed,35.760393000000001,-79.810367999999997,"5",5.000000000000000,180894.171875000000000,RAND,505667.968750000000000,593483.622165999957360,WSRO,{D7EF7550-7A29-49C8-99FF-5AC089916B1D},223033.815059565677075,22026881771.299999237060547
"18",76B-LCID-1992,Randolph County Demo Landfill,1254 County Land Road,Randelman,NC,"27317",Randolph,LCID,LF,InactiveClosed,,Closed,35.752000000000002,-79.769999999999996,"5",5.000000000000000,180894.171875000000000,RAND,505667.968750000000000,593483.622165999957360,WSRO,{D7EF7550-7A29-49C8-99FF-5AC089916B1D},223033.815059565677075,22026881771.299999237060547
"19",76C-LCID-1999,Gold Hill Rd. Landscape Supply & LCID LF,385 Gold Hill Road,Asheboro,NC,"27203",Randolph,LCID,LF,InactiveClosed,2014/10/27,Open,35.718871000000000,-79.790813999999997,"5",5.000000000000000,180894.171875000000000,RAND,505667.968750000000000,593483.622165999957360,WSRO,{D7EF7550-7A29-49C8-99FF-5AC089916B1D},223033.815059565677075,22026881771.299999237060547
"20",7702-MSWLF-,Richmond County Landfill,Docker Road (S.R. 1306),Rockingham,NC,"28347",Richmond,MSW,LF,InactiveClosed,,Closed,35.022660999999999,-79.548260999999997,"86",86.000000000000000,204625.078125000000000,RICH,306894.187500000000000,671340.740222000051290,FRO,{7577772B-6EE3-4EB9-BAEE-1E36A01A9C27},250035.865574419702170,13368301395.399999618530273
"21",77A-LCID-1981,"Hamlet, Town Of",Off U.S. 74,Hamlet,NC,"28345",Richmond,LCID,LF,Active,2014/02/11,Closed,34.875720999999999,-79.681500999999997,"86",86.000000000000000,204625.078125000000000,RICH,306894.187500000000000,671340.740222000051290,FRO,{7577772B-6EE3-4EB9-BAEE-1E36A01A9C27},250035.865574419702170,13368301395.399999618530273
"22",77B-DEMO-1983,"Rockingham, City of Demo Site",U.S. Hwy 1 N.,Rockingham,NC,"28379",Richmond,CD,LF,InactiveClosed,,Closed,34.963157000000002,-79.711241000000001,"86",86.000000000000000,204625.078125000000000,RICH,306894.187500000000000,671340.740222000051290,FRO,{7577772B-6EE3-4EB9-BAEE-1E36A01A9C27},250035.865574419702170,13368301395.399999618530273
"23",77C-DEMO-,Seaboard CL Railroad,Campbell Road,Hamlet,NC,"28345",Richmond,CD,LF,InactiveClosed,,Closed,34.921920999999998,-79.639493000000002,"86",86.000000000000000,204625.078125000000000,RICH,306894.187500000000000,671340.740222000051290,FRO,{7577772B-6EE3-4EB9-BAEE-1E36A01A9C27},250035.865574419702170,13368301395.399999618530273
"24",7803-CDLF-1997,Robeson County CDLF,246 Landfill Road,Saint Pauls,NC,"28384",Robeson,CD,LF,Active,2015/05/28,Open,34.792220999999998,-78.908281000000002,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"25",7803-MSWLF-1985,Robeson County Landfill,NC Hwy 20,St. Pauls,NC,"28284",Robeson,MSW,LF,InactiveClosed,,Closed,34.792757999999999,-78.910493000000002,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"26",7803-MSWLF-1997,Robeson County Landfill,246 Landfill Road,Saint Pauls,NC,"28384",Robeson,MSW,LF,Active,2016/02/01,Open,34.792220999999998,-78.908281000000002,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"27",78A-DEMO-1980,"St Pauls, Town Of",Elizabeth Street,St. Pauls,NC,"28384",Robeson,CD,LF,InactiveClosed,,Closed,34.797297999999998,-78.966945999999993,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"28",78B-DEMO-1980,"Fairmont, Town Of",McDaniel Street,Fairmont,NC,"28340",Robeson,CD,LF,InactiveClosed,,Closed,34.499186999999999,-79.107754999999997,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"29",78C-DEMO-,C R Hayes,Pine Log Road (S.R. 1527),Lumberton,NC,"28360",Robeson,CD,LF,InactiveClosed,,Closed,34.662931999999998,-79.060096999999999,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"30",78D-LCID-1981,Red Springs Town Of,Evon Road (S.R. 1776),Red Springs,NC,"28377",Robeson,LCID,LF,Active,,Closed,34.807371000000003,-79.156020999999996,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"31",78E-LCID-1981,City Of Lumberton,Alamac Road,Robeson,NC,"28358",Robeson,LCID,LF,InactiveClosed,,Closed,34.578651000000001,-79.001413999999997,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"32",78F-DEMO-,Fields Site,Hwy 301 S.,St. Pauls,NC,"28384",Robeson,CD,LF,InactiveClosed,,Closed,34.798887999999998,-78.978600999999998,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"33",78G-DEMO-,Frank Benton Demo Site,Hestertown Road (S.R. 2202),Lumberton,NC,"28358",Robeson,CD,LF,InactiveClosed,,Closed,34.601508000000003,-78.996001000000007,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"34",78H-DEMO-,Marvin & Willis Walters Demo,U.S. Hwy 74 (Britts Twnshp.),Lumberton,NC,"28358",Robeson,CD,LF,InactiveClosed,,Closed,34.556713000000002,-78.969841000000002,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"35",78I-LCID-1983,"Maxton, Town Of",483 Maxton Pond Road,Maxton,NC,"28364",Robeson,LCID,LF,Active,,Open,34.715266000000000,-79.361510999999993,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"36",78J-LCID-1990,"Lumberton, City Of",Off Clyborn Church (S.R. 1531),Lumberton,NC,"28359",Robeson,LCID,LF,Active,1995/03/29,Closed,34.669150999999999,-79.024771000000001,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"37",78K-LCID-,Bear Swamp LCID Landfill,Bullock Road (S.R. 1549),Lumberton,NC,"28360",Robeson,LCID,LF,InactiveClosed,,Closed,34.628608000000000,-79.097138999999999,"89",89.000000000000000,242923.859375000000000,ROBE,608191.875000000000000,796992.700312000000849,FRO,{6DEA0571-14A8-4305-AFC5-1F5E5DFF4BD4},295592.844973981147632,26492819607.500000000000000
"38",7901-MSWLF-,Rockingham County MSWLF (Area 5),Shuff Road,Madison,NC,"27025",Rockingham,MSW,LF,InactiveClosed,,Closed,36.368110999999999,-79.841820999999996,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"39",7901-MSWLF-1979,Rockingham County Landfill,Shuff Road / South of NC Hwy 704,Wentworth,NC,"27025",Rockingham,MSW,LF,InactiveClosed,,Closed,36.369041000000003,-79.844182000000004,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"40",7904-MSWLF-1995,Rockingham County Landfill,281 Shuff Road,Madison,NC,"27025",Rockingham,MSW,LF,Active,2018/08/27,Open,36.370832999999998,-79.848056000000000,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"41",7906-INDUS-2016,Duke Energy-Dan River Steam Station,900 South Edgewood Road,Eden,NC,"27288",Rockingham,Indus,LF,Active,,Closed,36.494799999999998,-79.715500000000006,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"42",79A-DEMO-,O.E. Green Demo Landfill,N.E. Market Street,Reidsville,NC,"27320",Rockingham,CD,LF,InactiveClosed,,Closed,36.387903000000001,-79.643045000000001,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"43",79B-LCID-,Duke Power Asbestos Site,900 S. Edgewood Road,Eden,NC,"27288",Rockingham,LCID,LF,InactiveClosed,,Closed,36.488419000000000,-79.718003999999993,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"44",79C-DEMO-,Fleming Demo Landfill,Kings Highway,Eden,NC,"27288",Rockingham,CD,LF,InactiveClosed,,Closed,36.491872999999998,-79.747917000000001,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"45",79D-DEMO-,I E M  Demo Landfill,606 Walters Street,Reidsville,NC,"27320",Rockingham,CD,LF,InactiveClosed,,Closed,36.359775999999997,-79.686914999999999,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"46",79E-DEMO-,Gordon Roberts,Reidsville,Reidsville,NC,"27320",Rockingham,CD,LF,InactiveClosed,,Closed,36.356245999999999,-79.693053000000006,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"47",79F-DEMO-,Ernest J Lee,NC Hwy 14,Reidsville,NC,"27320",Rockingham,CD,LF,InactiveClosed,,Closed,36.400297000000002,-79.677273000000000,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"48",79G-LCID-,Thomas L Stanley Demo,Gideon Church Road,Stokesdale,NC,"27357",Rockingham,LCID,LF,InactiveClosed,,Closed,36.284252000000002,-79.977108999999999,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"49",79H-DEMO-,Wall Demo Landfill,500 Benjamin Road,Madison,NC,"27025",Rockingham,CD,LF,InactiveClosed,,Closed,36.378877000000003,-79.977018000000001,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"50",79I-DEMO-,R H Morgan LCID Landfill,NC Hwy 68,Stokesdale,NC,"27357",Rockingham,CD,LF,InactiveClosed,,Closed,36.259546999999998,-79.957006000000007,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"51",79J-LCID-,"Sam W. Smith Jr., Inc. Landfill",Hwy. 135 West,Eden,NC,"27288",Rockingham,LCID,LF,Active,2007/03/12,Open,36.532280999999998,-79.632610999999997,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"52",79K-LCID-,Thomas Stanley Grading And Hauling LCID,NC Hwy 68 & Lauren Road (S.R. 1103),Stokesdale,NC,"27357",Rockingham,LCID,LF,InactiveClosed,,Closed,36.257531999999998,-79.956591000000003,"1",1.000000000000000,156472.984375000000000,ROCK,366053.062500000000000,513361.787376999971457,WSRO,{03DA1157-BD1A-4B5A-BA25-43467425FEC5},194502.424760259600589,15945261643.200000762939453
"53",8001-MSWLF-1982,Rowan County Landfill,Airport Road (S.R. 1516),Salisbury,NC,"28147",Rowan,MSW,LF,InactiveClosed,,Closed,35.649594999999998,-80.526165000000006,"96",96.000000000000000,172698.187500000000000,ROWA,335082.468750000000000,566593.969328999985009,MRO,{2CD05218-6356-4415-90B8-AF0182DC8B6E},212737.946738828293746,14596182633.299999237060547
"54",8002-INDUS-1974,Celanese Fibers,Needmore Road (S.R. 1984),Salisbury,NC,"27054",Rowan,Indus,LF,InactiveClosed,,Closed,35.818179000000001,-80.597797999999997,"96",96.000000000000000,172698.187500000000000,ROWA,335082.468750000000000,566593.969328999985009,MRO,{2CD05218-6356-4415-90B8-AF0182DC8B6E},212737.946738828293746,14596182633.299999237060547
"55",8003-CDLF-,Rowan County C&D Unit,789 Campbell Road,Woodleaf,NC,"27054",Rowan,CD,LF,InactivePermitted,,Closed,35.756456999999997,-80.558508000000003,"96",96.000000000000000,172698.187500000000000,ROWA,335082.468750000000000,566593.969328999985009,MRO,{2CD05218-6356-4415-90B8-AF0182DC8B6E},212737.946738828293746,14596182633.299999237060547
"56",8003-MSWLF-1988,Rowan County Landfill,789 Campbell Road,Woodleaf,NC,"27054",Rowan,MSW,LF,Active,2010/05/31,Open,35.756456999999997,-80.558508000000003,"96",96.000000000000000,172698.187500000000000,ROWA,335082.468750000000000,566593.969328999985009,MRO,{2CD05218-6356-4415-90B8-AF0182DC8B6E},212737.946738828293746,14596182633.299999237060547
"57",80A-DEMO-1981,Fiber Celanese,U.S. Hwy 70,Salisbury,NC,"28147",Rowan,CD,LF,InactiveClosed,,Closed,35.712952000000001,-80.607383999999996,"96",96.000000000000000,172698.187500000000000,ROWA,335082.468750000000000,566593.969328999985009,MRO,{2CD05218-6356-4415-90B8-AF0182DC8B6E},212737.946738828293746,14596182633.299999237060547
"58",8102-MSWLF-1977,Rutherford County Landfill,Avondale Landfill Road (S.R. 2138),Forest City,NC,"28043",Rutherford,MSW,LF,InactiveClosed,,Closed,35.271031000000001,-81.807080999999997,"60",60.000000000000000,195801.343749999970896,RUTH,361791.062500000000000,642391.580224000150338,ARO,{FD839AD9-CFF9-4CCC-BBF6-4D711974CAA3},240567.222391907416750,15759608008.399999618530273
"59",8103-CDLF-2002,Rutherford County C&D,656 Laurel Hill Drive,Rutherfordton,NC,"28139",Rutherford,CD,LF,Active,2014/02/20,Open,35.349251000000002,-81.953120999999996,"60",60.000000000000000,195801.343749999970896,RUTH,361791.062500000000000,642391.580224000150338,ARO,{FD839AD9-CFF9-4CCC-BBF6-4D711974CAA3},240567.222391907416750,15759608008.399999618530273
"60",8103-MSWLF-1974,Rutherford County Landfill,656 Laurel Hill Drive,Rutherfordton,NC,"28139",Rutherford,MSW,LF,InactiveClosed,,Open,35.347490999999998,-81.955320999999998,"60",60.000000000000000,195801.343749999970896,RUTH,361791.062500000000000,642391.580224000150338,ARO,{FD839AD9-CFF9-4CCC-BBF6-4D711974CAA3},240567.222391907416750,15759608008.399999618530273
"61",8105-MSWLF-,Rutherford County MSW Landfill,656 Laurel Hill Drive,Rutherfordton,NC,"28139",Rutherford,MSW,LF,InactivePermitted,,Closed,35.347088999999997,-81.953264000000004,"60",60.000000000000000,195801.343749999970896,RUTH,361791.062500000000000,642391.580224000150338,ARO,{FD839AD9-CFF9-4CCC-BBF6-4D711974CAA3},240567.222391907416750,15759608008.399999618530273
"62",8106-INDUS-2009,"Duke Energy, Rogers CCP Landfill",573 Duke Power Road,Mooresboro,NC,"28114",Rutherford,Indus,LF,Active,2015/09/07,Open,35.207501000000001,-81.766098000000000,"60",60.000000000000000,195801.343749999970896,RUTH,361791.062500000000000,642391.580224000150338,ARO,{FD839AD9-CFF9-4CCC-BBF6-4D711974CAA3},240567.222391907416750,15759608008.399999618530273
"63",8201-MSWLF-,"Sampson County Disposal, LLC",7434 Roseboro Hwy,Roseboro,NC,"28382",Sampson,MSW,LF,InactiveClosed,,Closed,34.966611000000000,-78.452511000000001,"77",77.000000000000000,276210.750000000000000,SAMP,605866.687500000000000,906201.458016999997199,FRO,{F9EF5A8E-ABAD-4E7C-805C-42064D1D056E},337527.687491431192029,26391537290.299999237060547
"64",8202-CDLF-1996,"Sampson County Disposal, LLC",7434 Roseboro Highway,Roseboro,NC,"28382",Sampson,CD,LF,Active,2011/06/01,Open,34.977817000000002,-78.452107999999996,"77",77.000000000000000,276210.750000000000000,SAMP,605866.687500000000000,906201.458016999997199,FRO,{F9EF5A8E-ABAD-4E7C-805C-42064D1D056E},337527.687491431192029,26391537290.299999237060547
"65",8202-MSWLF-2000,"Sampson County Disposal, LLC",7434 Roseboro Highway,Roseboro,NC,"28382",Sampson,MSW,LF,Active,2011/06/11,Open,34.981991000000001,-78.456413999999995,"77",77.000000000000000,276210.750000000000000,SAMP,605866.687500000000000,906201.458016999997199,FRO,{F9EF5A8E-ABAD-4E7C-805C-42064D1D056E},337527.687491431192029,26391537290.299999237060547
"66",82A-LCID-,Triangle Auto Site,Beaman Street,Clinton,NC,"28328",Sampson,LCID,LF,InactiveClosed,,Closed,35.015391000000001,-78.324641000000000,"77",77.000000000000000,276210.750000000000000,SAMP,605866.687500000000000,906201.458016999997199,FRO,{F9EF5A8E-ABAD-4E7C-805C-42064D1D056E},337527.687491431192029,26391537290.299999237060547
"67",8301-CDLF-1997,Scotland County CDLF,10701 Patterson Road,Laurinburg,NC,"28352",Scotland,CD,LF,Active,2014/09/14,Open,34.724271000000002,-79.382330999999994,"87",87.000000000000000,149572.875000000000000,SCOT,205394.687500000000000,490723.650262999930419,FRO,{AE519FD3-7FA2-4EF9-8978-9ED96F8C4EF1},182504.632000449928455,8946986652.909999847412109
"68",8301-MSWLF-1980,Scotland County Landfill,Rocky Ford Road (S.R. 1611),Maxton,NC,"28364",Scotland,MSW,LF,InactiveClosed,,Closed,34.724271000000002,-79.382330999999994,"87",87.000000000000000,149572.875000000000000,SCOT,205394.687500000000000,490723.650262999930419,FRO,{AE519FD3-7FA2-4EF9-8978-9ED96F8C4EF1},182504.632000449928455,8946986652.909999847412109
"69",83A-DEMO-,J P Stevens & Co,Airport Road,Wagram,NC,"28396",Scotland,CD,LF,InactiveClosed,,Closed,34.839570999999999,-79.374685999999997,"87",87.000000000000000,149572.875000000000000,SCOT,205394.687500000000000,490723.650262999930419,FRO,{AE519FD3-7FA2-4EF9-8978-9ED96F8C4EF1},182504.632000449928455,8946986652.909999847412109
"70",83B-DEMO-,Scotland County Demo Site,Rocky Ford Road (S.R. 1611),Maxton,NC,"28352",Scotland,CD,LF,InactiveClosed,,Closed,34.751010999999998,-79.426558999999997,"87",87.000000000000000,149572.875000000000000,SCOT,205394.687500000000000,490723.650262999930419,FRO,{AE519FD3-7FA2-4EF9-8978-9ED96F8C4EF1},182504.632000449928455,8946986652.909999847412109
"71",8401-CDLF-1997,"Albemarle, City Of, CDLF",40592B Stony Gap Road,Albemarle,NC,"28001",Stanly,CD,LF,Active,,Open,35.299523999999998,-80.149888000000004,"69",69.000000000000000,166794.796875000000000,STAN,258886.562500000000000,547225.909819000051357,MRO,{39B7E4BB-6BFC-43A3-BF1B-64C17E33FAA9},204665.350589295267127,11277091742.600000381469727
"72",8401-MSWLF-,"Albemarle, City of Landfill",40592B Stony Gap Road,Albemarle,NC,"28001",Stanly,MSW,LF,InactiveClosed,,Closed,35.191343000000003,-80.089457999999993,"69",69.000000000000000,166794.796875000000000,STAN,258886.562500000000000,547225.909819000051357,MRO,{39B7E4BB-6BFC-43A3-BF1B-64C17E33FAA9},204665.350589295267127,11277091742.600000381469727
